Email Address,Member Name,Role,Team,Squad,Timestamp,MOUs,Cold Calls,Followups
member48@exchangemarathon.com,Member 48,Team Member,marcom,Marcom Stars,2025-12-24T18:00:15+05:30,2,16,10
member23@exchangemarathon.com,Member 23,Activity Lead,ir,IR Explore,2025-12-24T18:36:53+05:30,1,11,9
member33@exchangemarathon.com,Member 33,Team Member,matching,Match Makers,2025-12-24T19:46:43+05:30,0,0,3
member46@exchangemarathon.com,Member 46,Team Member,marcom,Marcom Stars,2025-12-25T10:59:26+05:30,3,19,11
member34@exchangemarathon.com,Member 34,Team Member,matching,Match Makers,2025-12-25T12:15:03+05:30,0,9,7
member21@exchangemarathon.com,Member 21,Team Member,ir,IR Connect,2025-12-25T13:04:31+05:30,0,11,7
member29@exchangemarathon.com,Member 29,Team Member,matching,Match Makers,2025-12-25T13:12:23+05:30,2,10,10
member51@exchangemarathon.com,Member 51,Activity Lead,marcom,Marcom Sparks,2025-12-25T13:26:54+05:30,3,19,10
member13@exchangemarathon.com,Member 13,Project Coordinator,b2b,B2B Hunters,2025-12-25T16:06:36+05:30,3,17,11
member13@exchangemarathon.com,Member 13,Project Coordinator,b2b,B2B Hunters,2025-12-25T18:13:26+05:30,3,13,10
member11@exchangemarathon.com,Member 11,Project Coordinator,b2b,B2B Hunters,2025-12-25T19:12:48+05:30,1,5,5
member41@exchangemarathon.com,Member 41,Activity Lead,matching,Match Ops,2025-12-25T19:42:58+05:30,1,10,5
member49@exchangemarathon.com,Member 49,Team Member,marcom,Marcom Stars,2025-12-25T20:02:23+05:30,1,7,8
member44@exchangemarathon.com,Member 44,Team Member,marcom,Marcom Stars,2025-12-26T08:42:57+05:30,1,6,2
member41@exchangemarathon.com,Member 41,Activity Lead,matching,Match Ops,2025-12-26T09:19:38+05:30,1,6,6
member01@exchangemarathon.com,Member 01,Project Coordinator,b2b,B2B Titans,2025-12-26T10:20:52+05:30,1,10,10
member47@exchangemarathon.com,Member 47,Team Member,marcom,Marcom Stars,2025-12-26T11:12:47+05:30,2,6,10
member46@exchangemarathon.com,Member 46,Team Member,marcom,Marcom Stars,2025-12-26T12:35:28+05:30,1,18,12
member10@exchangemarathon.com,Member 10,Project Coordinator,b2b,B2B Hunters,2025-12-26T15:19:39+05:30,1,9,5
member48@exchangemarathon.com,Member 48,Team Member,marcom,Marcom Stars,2025-12-26T15:34:30+05:30,1,20,14
member18@exchangemarathon.com,Member 18,Support Associate,ir,IR Connect,2025-12-26T16:19:14+05:30,0,1,2
member04@exchangemarathon.com,Member 04,Team Member,b2b,B2B Titans,2025-12-26T16:53:27+05:30,1,14,14
member11@exchangemarathon.com,Member 11,Project Coordinator,b2b,B2B Hunters,2025-12-26T17:35:55+05:30,1,1,4
member26@exchangemarathon.com,Member 26,Team Member,ir,IR Explore,2025-12-26T18:35:34+05:30,3,20,14
member07@exchangemarathon.com,Member 07,Support Associate,b2b,B2B Titans,2025-12-26T18:42:48+05:30,3,18,14
member19@exchangemarathon.com,Member 19,Project Coordinator,ir,IR Connect,2025-12-26T19:24:55+05:30,1,9,6
member42@exchangemarathon.com,Member 42,Support Associate,matching,Match Ops,2025-12-26T19:38:08+05:30,2,11,7
member33@exchangemarathon.com,Member 33,Team Member,matching,Match Makers,2025-12-26T19:57:34+05:30,1,4,6
member20@exchangemarathon.com,Member 20,Project Coordinator,ir,IR Connect,2025-12-26T20:07:08+05:30,1,17,11
member56@exchangemarathon.com,Member 56,Project Coordinator,marcom,Marcom Sparks,2025-12-26T20:23:53+05:30,1,12,5
member38@exchangemarathon.com,Member 38,Activity Lead,matching,Match Ops,2025-12-27T09:51:32+05:30,2,10,9
member04@exchangemarathon.com,Member 04,Team Member,b2b,B2B Titans,2025-12-27T09:51:49+05:30,1,20,10
member21@exchangemarathon.com,Member 21,Team Member,ir,IR Connect,2025-12-27T09:55:33+05:30,0,5,8
member22@exchangemarathon.com,Member 22,Support Associate,ir,IR Explore,2025-12-27T10:19:20+05:30,2,11,10
member32@exchangemarathon.com,Member 32,Support Associate,matching,Match Makers,2025-12-27T11:33:02+05:30,1,11,7
member13@exchangemarathon.com,Member 13,Project Coordinator,b2b,B2B Hunters,2025-12-27T13:23:19+05:30,2,19,10
member43@exchangemarathon.com,Member 43,Support Associate,marcom,Marcom Stars,2025-12-27T13:52:02+05:30,0,8,9
member47@exchangemarathon.com,Member 47,Team Member,marcom,Marcom Stars,2025-12-27T15:33:30+05:30,0,12,9
member19@exchangemarathon.com,Member 19,Project Coordinator,ir,IR Connect,2025-12-27T17:01:34+05:30,0,10,7
member33@exchangemarathon.com,Member 33,Team Member,matching,Match Makers,2025-12-27T17:06:18+05:30,0,4,4
member30@exchangemarathon.com,Member 30,Activity Lead,matching,Match Makers,2025-12-27T20:25:13+05:30,0,11,6
member53@exchangemarathon.com,Member 53,Team Member,marcom,Marcom Sparks,2025-12-27T20:27:37+05:30,2,7,5
member54@exchangemarathon.com,Member 54,Project Coordinator,marcom,Marcom Sparks,2025-12-27T20:59:00+05:30,3,15,11
member20@exchangemarathon.com,Member 20,Project Coordinator,ir,IR Connect,2025-12-28T08:02:14+05:30,1,12,14
member12@exchangemarathon.com,Member 12,Team Member,b2b,B2B Hunters,2025-12-28T09:07:24+05:30,1,5,6
member12@exchangemarathon.com,Member 12,Team Member,b2b,B2B Hunters,2025-12-28T10:04:17+05:30,0,5,10
member18@exchangemarathon.com,Member 18,Support Associate,ir,IR Connect,2025-12-28T10:15:16+05:30,1,5,2
member40@exchangemarathon.com,Member 40,Support Associate,matching,Match Ops,2025-12-28T12:45:09+05:30,2,6,10
member08@exchangemarathon.com,Member 08,Support Associate,b2b,B2B Hunters,2025-12-28T12:46:42+05:30,1,10,9
member21@exchangemarathon.com,Member 21,Team Member,ir,IR Connect,2025-12-28T12:58:21+05:30,1,12,10
member04@exchangemarathon.com,Member 04,Team Member,b2b,B2B Titans,2025-12-28T15:43:23+05:30,2,13,13
member49@exchangemarathon.com,Member 49,Team Member,marcom,Marcom Stars,2025-12-28T16:28:01+05:30,0,7,7
member39@exchangemarathon.com,Member 39,Project Coordinator,matching,Match Ops,2025-12-28T19:17:38+05:30,0,7,5
member54@exchangemarathon.com,Member 54,Project Coordinator,marcom,Marcom Sparks,2025-12-28T19:41:20+05:30,3,13,11
member10@exchangemarathon.com,Member 10,Project Coordinator,b2b,B2B Hunters,2025-12-28T20:38:14+05:30,2,11,8
member28@exchangemarathon.com,Member 28,Support Associate,ir,IR Explore,2025-12-29T08:03:16+05:30,1,11,6
member07@exchangemarathon.com,Member 07,Support Associate,b2b,B2B Titans,2025-12-29T09:04:36+05:30,2,15,10
member36@exchangemarathon.com,Member 36,Team Member,matching,Match Ops,2025-12-29T09:07:14+05:30,0,11,9
member39@exchangemarathon.com,Member 39,Project Coordinator,matching,Match Ops,2025-12-29T11:22:56+05:30,1,8,3
member31@exchangemarathon.com,Member 31,Support Associate,matching,Match Makers,2025-12-29T12:15:41+05:30,2,8,5
member04@exchangemarathon.com,Member 04,Team Member,b2b,B2B Titans,2025-12-29T13:16:24+05:30,3,16,15
member24@exchangemarathon.com,Member 24,Project Coordinator,ir,IR Explore,2025-12-29T13:29:10+05:30,1,1,2
member12@exchangemarathon.com,Member 12,Team Member,b2b,B2B Hunters,2025-12-29T13:30:15+05:30,2,6,8
member32@exchangemarathon.com,Member 32,Support Associate,matching,Match Makers,2025-12-29T15:03:27+05:30,1,8,8
member40@exchangemarathon.com,Member 40,Support Associate,matching,Match Ops,2025-12-29T15:06:43+05:30,2,12,8
member44@exchangemarathon.com,Member 44,Team Member,marcom,Marcom Stars,2025-12-29T15:15:53+05:30,1,2,6
member46@exchangemarathon.com,Member 46,Team Member,marcom,Marcom Stars,2025-12-29T15:24:47+05:30,2,14,15
member31@exchangemarathon.com,Member 31,Support Associate,matching,Match Makers,2025-12-29T16:28:03+05:30,2,7,6
member18@exchangemarathon.com,Member 18,Support Associate,ir,IR Connect,2025-12-29T20:16:16+05:30,1,3,0
member02@exchangemarathon.com,Member 02,Support Associate,b2b,B2B Titans,2025-12-29T20:37:26+05:30,2,11,9
member06@exchangemarathon.com,Member 06,Activity Lead,b2b,B2B Titans,2025-12-30T10:55:08+05:30,2,18,10
member16@exchangemarathon.com,Member 16,Support Associate,ir,IR Connect,2025-12-30T10:57:09+05:30,2,9,9
member53@exchangemarathon.com,Member 53,Team Member,marcom,Marcom Sparks,2025-12-30T11:19:14+05:30,1,11,8
member44@exchangemarathon.com,Member 44,Team Member,marcom,Marcom Stars,2025-12-30T11:24:23+05:30,1,2,5
member37@exchangemarathon.com,Member 37,Activity Lead,matching,Match Ops,2025-12-30T12:52:37+05:30,2,10,8
member06@exchangemarathon.com,Member 06,Activity Lead,b2b,B2B Titans,2025-12-30T15:18:55+05:30,2,19,11
member18@exchangemarathon.com,Member 18,Support Associate,ir,IR Connect,2025-12-30T16:59:04+05:30,1,5,3
member17@exchangemarathon.com,Member 17,Project Coordinator,ir,IR Connect,2025-12-30T17:34:04+05:30,0,9,7
member10@exchangemarathon.com,Member 10,Project Coordinator,b2b,B2B Hunters,2025-12-30T17:45:03+05:30,1,11,7
member37@exchangemarathon.com,Member 37,Activity Lead,matching,Match Ops,2025-12-30T18:37:55+05:30,2,7,8
member53@exchangemarathon.com,Member 53,Team Member,marcom,Marcom Sparks,2025-12-30T19:09:39+05:30,0,5,8
member16@exchangemarathon.com,Member 16,Support Associate,ir,IR Connect,2025-12-30T19:12:38+05:30,1,11,9
member28@exchangemarathon.com,Member 28,Support Associate,ir,IR Explore,2025-12-30T19:51:56+05:30,1,8,7
member45@exchangemarathon.com,Member 45,Support Associate,marcom,Marcom Stars,2025-12-30T19:55:58+05:30,2,11,6
member04@exchangemarathon.com,Member 04,Team Member,b2b,B2B Titans,2025-12-31T08:48:12+05:30,2,12,11
member41@exchangemarathon.com,Member 41,Activity Lead,matching,Match Ops,2025-12-31T08:51:57+05:30,1,8,10
member34@exchangemarathon.com,Member 34,Team Member,matching,Match Makers,2025-12-31T09:18:26+05:30,2,8,10
member12@exchangemarathon.com,Member 12,Team Member,b2b,B2B Hunters,2025-12-31T11:20:07+05:30,0,8,9
member56@exchangemarathon.com,Member 56,Project Coordinator,marcom,Marcom Sparks,2025-12-31T12:21:31+05:30,2,12,9
member15@exchangemarathon.com,Member 15,Project Coordinator,ir,IR Connect,2025-12-31T14:54:02+05:30,1,12,5
member51@exchangemarathon.com,Member 51,Activity Lead,marcom,Marcom Sparks,2025-12-31T15:36:52+05:30,2,16,15
member02@exchangemarathon.com,Member 02,Support Associate,b2b,B2B Titans,2025-12-31T16:35:31+05:30,2,5,6
member02@exchangemarathon.com,Member 02,Support Associate,b2b,B2B Titans,2025-12-31T17:40:17+05:30,1,5,7
member42@exchangemarathon.com,Member 42,Support Associate,matching,Match Ops,2025-12-31T18:17:35+05:30,1,11,7
member48@exchangemarathon.com,Member 48,Team Member,marcom,Marcom Stars,2025-12-31T19:24:11+05:30,3,18,14
member42@exchangemarathon.com,Member 42,Support Associate,matching,Match Ops,2025-12-31T19:24:41+05:30,2,5,7
member51@exchangemarathon.com,Member 51,Activity Lead,marcom,Marcom Sparks,2025-12-31T19:45:23+05:30,2,12,14
member34@exchangemarathon.com,Member 34,Team Member,matching,Match Makers,2025-12-31T20:02:53+05:30,1,5,8
member26@exchangemarathon.com,Member 26,Team Member,ir,IR Explore,2026-01-01T08:13:39+05:30,1,12,14
member34@exchangemarathon.com,Member 34,Team Member,matching,Match Makers,2026-01-01T08:34:59+05:30,1,9,6
member36@exchangemarathon.com,Member 36,Team Member,matching,Match Ops,2026-01-01T09:15:33+05:30,1,12,6
member48@exchangemarathon.com,Member 48,Team Member,marcom,Marcom Stars,2026-01-01T10:28:42+05:30,1,19,15
member42@exchangemarathon.com,Member 42,Support Associate,matching,Match Ops,2026-01-01T12:01:24+05:30,1,7,10
member16@exchangemarathon.com,Member 16,Support Associate,ir,IR Connect,2026-01-01T13:20:12+05:30,0,11,6
member24@exchangemarathon.com,Member 24,Project Coordinator,ir,IR Explore,2026-01-01T13:35:29+05:30,1,5,2
member44@exchangemarathon.com,Member 44,Team Member,marcom,Marcom Stars,2026-01-01T15:14:20+05:30,0,0,1
member19@exchangemarathon.com,Member 19,Project Coordinator,ir,IR Connect,2026-01-01T15:58:49+05:30,1,6,7
member08@exchangemarathon.com,Member 08,Support Associate,b2b,B2B Hunters,2026-01-01T17:56:55+05:30,2,10,7
member29@exchangemarathon.com,Member 29,Team Member,matching,Match Makers,2026-01-01T18:16:03+05:30,0,5,6
member33@exchangemarathon.com,Member 33,Team Member,matching,Match Makers,2026-01-01T18:50:07+05:30,1,2,5
member51@exchangemarathon.com,Member 51,Activity Lead,marcom,Marcom Sparks,2026-01-01T20:28:27+05:30,3,12,11
member20@exchangemarathon.com,Member 20,Project Coordinator,ir,IR Connect,2026-01-02T08:20:43+05:30,3,12,10
member16@exchangemarathon.com,Member 16,Support Associate,ir,IR Connect,2026-01-02T12:44:47+05:30,1,6,8
member05@exchangemarathon.com,Member 05,Team Member,b2b,B2B Titans,2026-01-02T13:27:37+05:30,1,6,9
member24@exchangemarathon.com,Member 24,Project Coordinator,ir,IR Explore,2026-01-02T14:27:11+05:30,0,7,3
member39@exchangemarathon.com,Member 39,Project Coordinator,matching,Match Ops,2026-01-02T15:41:50+05:30,1,7,0
member41@exchangemarathon.com,Member 41,Activity Lead,matching,Match Ops,2026-01-02T15:53:14+05:30,2,11,10
member10@exchangemarathon.com,Member 10,Project Coordinator,b2b,B2B Hunters,2026-01-02T16:38:22+05:30,0,10,9
member55@exchangemarathon.com,Member 55,Support Associate,marcom,Marcom Sparks,2026-01-02T16:54:59+05:30,0,4,4
member34@exchangemarathon.com,Member 34,Team Member,matching,Match Makers,2026-01-02T17:51:47+05:30,2,9,10
member03@exchangemarathon.com,Member 03,Project Coordinator,b2b,B2B Titans,2026-01-02T18:14:42+05:30,0,5,6
member48@exchangemarathon.com,Member 48,Team Member,marcom,Marcom Stars,2026-01-02T20:00:37+05:30,3,20,15
member39@exchangemarathon.com,Member 39,Project Coordinator,matching,Match Ops,2026-01-02T20:43:13+05:30,0,8,3
member53@exchangemarathon.com,Member 53,Team Member,marcom,Marcom Sparks,2026-01-02T20:49:33+05:30,0,10,6
member01@exchangemarathon.com,Member 01,Project Coordinator,b2b,B2B Titans,2026-01-03T08:06:30+05:30,2,10,9
member26@exchangemarathon.com,Member 26,Team Member,ir,IR Explore,2026-01-03T08:19:03+05:30,1,17,14
member37@exchangemarathon.com,Member 37,Activity Lead,matching,Match Ops,2026-01-03T13:56:13+05:30,0,6,5
member24@exchangemarathon.com,Member 24,Project Coordinator,ir,IR Explore,2026-01-03T13:58:26+05:30,0,3,6
member44@exchangemarathon.com,Member 44,Team Member,marcom,Marcom Stars,2026-01-03T15:15:34+05:30,0,6,1
member31@exchangemarathon.com,Member 31,Support Associate,matching,Match Makers,2026-01-03T16:07:04+05:30,2,6,6
member43@exchangemarathon.com,Member 43,Support Associate,marcom,Marcom Stars,2026-01-03T16:39:51+05:30,2,5,9
member21@exchangemarathon.com,Member 21,Team Member,ir,IR Connect,2026-01-03T16:59:46+05:30,0,10,7
member50@exchangemarathon.com,Member 50,Support Associate,marcom,Marcom Sparks,2026-01-03T18:32:26+05:30,1,8,4
member10@exchangemarathon.com,Member 10,Project Coordinator,b2b,B2B Hunters,2026-01-03T18:37:15+05:30,1,5,5
member16@exchangemarathon.com,Member 16,Support Associate,ir,IR Connect,2026-01-03T18:46:58+05:30,2,7,5
member30@exchangemarathon.com,Member 30,Activity Lead,matching,Match Makers,2026-01-03T19:07:53+05:30,0,7,6
member38@exchangemarathon.com,Member 38,Activity Lead,matching,Match Ops,2026-01-04T08:13:11+05:30,2,10,10
member41@exchangemarathon.com,Member 41,Activity Lead,matching,Match Ops,2026-01-04T09:14:51+05:30,1,10,8
member19@exchangemarathon.com,Member 19,Project Coordinator,ir,IR Connect,2026-01-04T09:19:42+05:30,1,10,8
member09@exchangemarathon.com,Member 09,Activity Lead,b2b,B2B Hunters,2026-01-04T10:33:10+05:30,0,8,7
member36@exchangemarathon.com,Member 36,Team Member,matching,Match Ops,2026-01-04T10:59:15+05:30,2,5,6
member55@exchangemarathon.com,Member 55,Support Associate,marcom,Marcom Sparks,2026-01-04T11:18:17+05:30,1,4,6
member07@exchangemarathon.com,Member 07,Support Associate,b2b,B2B Titans,2026-01-04T11:21:32+05:30,2,13,14
member52@exchangemarathon.com,Member 52,Project Coordinator,marcom,Marcom Sparks,2026-01-04T11:41:33+05:30,0,3,6
member54@exchangemarathon.com,Member 54,Project Coordinator,marcom,Marcom Sparks,2026-01-04T15:00:37+05:30,2,20,15
member56@exchangemarathon.com,Member 56,Project Coordinator,marcom,Marcom Sparks,2026-01-04T15:27:22+05:30,1,12,6
member21@exchangemarathon.com,Member 21,Team Member,ir,IR Connect,2026-01-04T16:04:42+05:30,2,7,6
member35@exchangemarathon.com,Member 35,Support Associate,matching,Match Makers,2026-01-04T16:05:19+05:30,2,9,8
member26@exchangemarathon.com,Member 26,Team Member,ir,IR Explore,2026-01-04T16:19:27+05:30,3,13,12
member28@exchangemarathon.com,Member 28,Support Associate,ir,IR Explore,2026-01-04T18:08:23+05:30,1,9,5
member40@exchangemarathon.com,Member 40,Support Associate,matching,Match Ops,2026-01-04T19:25:54+05:30,1,10,10
member40@exchangemarathon.com,Member 40,Support Associate,matching,Match Ops,2026-01-04T20:29:59+05:30,1,12,6
member45@exchangemarathon.com,Member 45,Support Associate,marcom,Marcom Stars,2026-01-05T08:41:47+05:30,2,8,10
member27@exchangemarathon.com,Member 27,Team Member,ir,IR Explore,2026-01-05T09:09:47+05:30,1,5,10
member03@exchangemarathon.com,Member 03,Project Coordinator,b2b,B2B Titans,2026-01-05T09:35:49+05:30,2,10,8
member27@exchangemarathon.com,Member 27,Team Member,ir,IR Explore,2026-01-05T11:06:42+05:30,0,6,6
member49@exchangemarathon.com,Member 49,Team Member,marcom,Marcom Stars,2026-01-05T13:02:54+05:30,1,12,10
member35@exchangemarathon.com,Member 35,Support Associate,matching,Match Makers,2026-01-05T13:08:13+05:30,0,11,9
member13@exchangemarathon.com,Member 13,Project Coordinator,b2b,B2B Hunters,2026-01-05T14:41:18+05:30,1,20,11
member06@exchangemarathon.com,Member 06,Activity Lead,b2b,B2B Titans,2026-01-05T15:14:53+05:30,2,14,10
member17@exchangemarathon.com,Member 17,Project Coordinator,ir,IR Connect,2026-01-05T16:19:23+05:30,0,9,5
member32@exchangemarathon.com,Member 32,Support Associate,matching,Match Makers,2026-01-05T16:40:23+05:30,0,5,5
member08@exchangemarathon.com,Member 08,Support Associate,b2b,B2B Hunters,2026-01-05T17:20:06+05:30,2,9,5
member40@exchangemarathon.com,Member 40,Support Associate,matching,Match Ops,2026-01-05T17:54:31+05:30,1,11,8
member35@exchangemarathon.com,Member 35,Support Associate,matching,Match Makers,2026-01-05T20:46:36+05:30,1,9,6
member42@exchangemarathon.com,Member 42,Support Associate,matching,Match Ops,2026-01-06T08:30:56+05:30,2,9,7
member56@exchangemarathon.com,Member 56,Project Coordinator,marcom,Marcom Sparks,2026-01-06T09:06:56+05:30,0,8,5
member34@exchangemarathon.com,Member 34,Team Member,matching,Match Makers,2026-01-06T09:26:59+05:30,2,8,8
member24@exchangemarathon.com,Member 24,Project Coordinator,ir,IR Explore,2026-01-06T09:32:08+05:30,1,7,2
member22@exchangemarathon.com,Member 22,Support Associate,ir,IR Explore,2026-01-06T10:11:47+05:30,0,8,5
member18@exchangemarathon.com,Member 18,Support Associate,ir,IR Connect,2026-01-06T12:02:55+05:30,0,8,1
member04@exchangemarathon.com,Member 04,Team Member,b2b,B2B Titans,2026-01-06T15:04:21+05:30,1,17,12
member42@exchangemarathon.com,Member 42,Support Associate,matching,Match Ops,2026-01-06T15:19:28+05:30,1,7,5
member20@exchangemarathon.com,Member 20,Project Coordinator,ir,IR Connect,2026-01-06T17:17:54+05:30,3,17,12
member04@exchangemarathon.com,Member 04,Team Member,b2b,B2B Titans,2026-01-06T18:08:58+05:30,2,13,11
member33@exchangemarathon.com,Member 33,Team Member,matching,Match Makers,2026-01-06T18:56:28+05:30,1,2,1
member31@exchangemarathon.com,Member 31,Support Associate,matching,Match Makers,2026-01-06T20:42:23+05:30,0,5,10
member23@exchangemarathon.com,Member 23,Activity Lead,ir,IR Explore,2026-01-06T20:53:54+05:30,2,9,7
member21@exchangemarathon.com,Member 21,Team Member,ir,IR Connect,2026-01-07T09:28:20+05:30,0,5,5
member56@exchangemarathon.com,Member 56,Project Coordinator,marcom,Marcom Sparks,2026-01-07T09:35:16+05:30,2,11,10
member07@exchangemarathon.com,Member 07,Support Associate,b2b,B2B Titans,2026-01-07T10:17:10+05:30,3,20,13
member11@exchangemarathon.com,Member 11,Project Coordinator,b2b,B2B Hunters,2026-01-07T10:23:06+05:30,0,5,6
member37@exchangemarathon.com,Member 37,Activity Lead,matching,Match Ops,2026-01-07T11:20:58+05:30,0,9,8
member36@exchangemarathon.com,Member 36,Team Member,matching,Match Ops,2026-01-07T12:02:02+05:30,1,11,10
member36@exchangemarathon.com,Member 36,Team Member,matching,Match Ops,2026-01-07T13:04:42+05:30,1,12,7
member17@exchangemarathon.com,Member 17,Project Coordinator,ir,IR Connect,2026-01-07T13:57:19+05:30,0,10,8
member34@exchangemarathon.com,Member 34,Team Member,matching,Match Makers,2026-01-07T14:25:55+05:30,2,11,10
member11@exchangemarathon.com,Member 11,Project Coordinator,b2b,B2B Hunters,2026-01-07T17:18:34+05:30,0,3,3
member46@exchangemarathon.com,Member 46,Team Member,marcom,Marcom Stars,2026-01-07T17:20:18+05:30,1,14,15
member46@exchangemarathon.com,Member 46,Team Member,marcom,Marcom Stars,2026-01-07T17:58:15+05:30,2,17,10
member51@exchangemarathon.com,Member 51,Activity Lead,marcom,Marcom Sparks,2026-01-07T19:15:27+05:30,2,17,10
member12@exchangemarathon.com,Member 12,Team Member,b2b,B2B Hunters,2026-01-07T19:57:26+05:30,0,11,7
member09@exchangemarathon.com,Member 09,Activity Lead,b2b,B2B Hunters,2026-01-08T08:10:30+05:30,0,6,7
member49@exchangemarathon.com,Member 49,Team Member,marcom,Marcom Stars,2026-01-08T10:29:36+05:30,2,8,6
member33@exchangemarathon.com,Member 33,Team Member,matching,Match Makers,2026-01-08T11:11:43+05:30,1,1,3
member17@exchangemarathon.com,Member 17,Project Coordinator,ir,IR Connect,2026-01-08T12:03:53+05:30,0,8,5
member30@exchangemarathon.com,Member 30,Activity Lead,matching,Match Makers,2026-01-08T13:18:53+05:30,1,9,10
member50@exchangemarathon.com,Member 50,Support Associate,marcom,Marcom Sparks,2026-01-08T15:37:46+05:30,1,5,3
member24@exchangemarathon.com,Member 24,Project Coordinator,ir,IR Explore,2026-01-08T15:44:52+05:30,1,0,5
member08@exchangemarathon.com,Member 08,Support Associate,b2b,B2B Hunters,2026-01-08T15:46:51+05:30,0,7,9
member19@exchangemarathon.com,Member 19,Project Coordinator,ir,IR Connect,2026-01-08T15:51:54+05:30,1,9,6
member15@exchangemarathon.com,Member 15,Project Coordinator,ir,IR Connect,2026-01-08T16:06:40+05:30,0,10,5
member37@exchangemarathon.com,Member 37,Activity Lead,matching,Match Ops,2026-01-08T17:42:29+05:30,1,10,7
member39@exchangemarathon.com,Member 39,Project Coordinator,matching,Match Ops,2026-01-09T08:04:51+05:30,0,0,5
member48@exchangemarathon.com,Member 48,Team Member,marcom,Marcom Stars,2026-01-09T08:36:25+05:30,2,12,10
member52@exchangemarathon.com,Member 52,Project Coordinator,marcom,Marcom Sparks,2026-01-09T09:16:36+05:30,0,2,3
member37@exchangemarathon.com,Member 37,Activity Lead,matching,Match Ops,2026-01-09T09:51:01+05:30,0,11,5
member27@exchangemarathon.com,Member 27,Team Member,ir,IR Explore,2026-01-09T11:58:33+05:30,0,6,9
member02@exchangemarathon.com,Member 02,Support Associate,b2b,B2B Titans,2026-01-09T13:42:14+05:30,2,7,8
member50@exchangemarathon.com,Member 50,Support Associate,marcom,Marcom Sparks,2026-01-09T14:17:31+05:30,1,8,5
member37@exchangemarathon.com,Member 37,Activity Lead,matching,Match Ops,2026-01-09T16:05:19+05:30,1,12,9
member49@exchangemarathon.com,Member 49,Team Member,marcom,Marcom Stars,2026-01-09T17:38:51+05:30,2,9,7
member16@exchangemarathon.com,Member 16,Support Associate,ir,IR Connect,2026-01-09T18:17:23+05:30,0,12,9
member04@exchangemarathon.com,Member 04,Team Member,b2b,B2B Titans,2026-01-09T18:18:20+05:30,3,18,13
member47@exchangemarathon.com,Member 47,Team Member,marcom,Marcom Stars,2026-01-09T20:46:28+05:30,2,10,10
member21@exchangemarathon.com,Member 21,Team Member,ir,IR Connect,2026-01-09T20:52:45+05:30,2,7,7
member43@exchangemarathon.com,Member 43,Support Associate,marcom,Marcom Stars,2026-01-10T09:22:28+05:30,0,8,7
member51@exchangemarathon.com,Member 51,Activity Lead,marcom,Marcom Sparks,2026-01-10T09:34:32+05:30,1,20,15
member47@exchangemarathon.com,Member 47,Team Member,marcom,Marcom Stars,2026-01-10T09:55:08+05:30,2,6,10
member03@exchangemarathon.com,Member 03,Project Coordinator,b2b,B2B Titans,2026-01-10T11:21:55+05:30,1,10,7
member39@exchangemarathon.com,Member 39,Project Coordinator,matching,Match Ops,2026-01-10T12:51:14+05:30,0,8,2
member18@exchangemarathon.com,Member 18,Support Associate,ir,IR Connect,2026-01-10T14:52:40+05:30,0,7,5
member35@exchangemarathon.com,Member 35,Support Associate,matching,Match Makers,2026-01-10T17:01:07+05:30,0,7,5
